Week,DATE,Home,Away,spread_line
1,9/7/23 20:20,Chiefs,Lions,7
1,9/10/23 13:00,Steelers,49ers,2.5
1,9/10/23 13:00,Vikings,Buccaneers,6.5
1,9/10/23 13:00,Saints,Titans,3.5
1,9/10/23 13:00,Commanders,Cardinals,6
1,9/10/23 13:00,Falcons,Panthers,3
1,9/10/23 13:00,Browns,Bengals,2.5
1,9/10/23 13:00,Ravens,Texans,9.5
1,9/10/23 13:00,Colts,Jaguars,3.5
1,9/10/23 16:25,Seahawks,Rams,6
1,9/10/23 16:25,Broncos,Raiders,3.5
1,9/10/23 16:25,Chargers,Dolphins,2.5
1,9/10/23 16:25,Patriots,Eagles,5
1,9/10/23 16:25,Bears,Packers,2.5
1,9/10/23 20:20,Giants,Cowboys,3
1,9/11/23 20:15,Jets,Bills,1.5
2,9/14/23 20:15,Eagles,Vikings,6
2,9/17/23 13:00,Bengals,Ravens,3.5
2,9/17/23 13:00,Buccaneers,Bears,1
2,9/17/23 13:00,Falcons,Packers,2
2,9/17/23 13:00,Texans,Colts,1.5
2,9/17/23 13:00,Jaguars,Chiefs,3
2,9/17/23 13:00,Titans,Chargers,3.5
2,9/17/23 13:00,Bills,Raiders,8
2,9/17/23 13:00,Lions,Seahawks,2.5
2,9/17/23 16:05,Rams,49ers,4.5
2,9/17/23 16:05,Cardinals,Giants,4
2,9/17/23 16:25,Cowboys,Jets,2.5
2,9/17/23 16:25,Broncos,Commanders,3.5
2,9/17/23 20:20,Patriots,Dolphins,2
2,9/18/23 19:15,Panthers,Saints,1
2,9/18/23 20:15,Steelers,Browns,1.5
3,9/21/23 20:15,49ers,Giants,5.5
3,9/24/23 13:00,Jets,Patriots,4
3,9/24/23 13:00,Packers,Saints,1.5
3,9/24/23 13:00,Browns,Titans,4.5
3,9/24/23 13:00,Lions,Falcons,5
3,9/24/23 13:00,Commanders,Bills,4.5
3,9/24/23 13:00,Dolphins,Broncos,3.5
3,9/24/23 13:00,Jaguars,Texans,7
3,9/24/23 13:00,Ravens,Colts,7
3,9/24/23 13:00,Vikings,Chargers,0
3,9/24/23 16:05,Seahawks,Panthers,4.5
3,9/24/23 16:25,Chiefs,Bears,9.5
3,9/24/23 16:25,Cardinals,Cowboys,7
3,9/24/23 20:20,Raiders,Steelers,2
3,9/25/23 19:15,Buccaneers,Eagles,6.5
3,9/25/23 20:15,Bengals,Rams,8
4,9/28/23 20:15,Packers,Lions,1
4,10/1/23 9:30,Jaguars,Falcons,4
4,10/1/23 13:00,Browns,Ravens,1
4,10/1/23 13:00,Titans,Bengals,4.5
4,10/1/23 13:00,Bears,Broncos,1
4,10/1/23 13:00,Colts,Rams,0
4,10/1/23 13:00,Bills,Dolphins,4
4,10/1/23 13:00,Panthers,Vikings,1
4,10/1/23 13:00,Texans,Steelers,3
4,10/1/23 13:00,Saints,Buccaneers,4.5
4,10/1/23 13:00,Eagles,Commanders,7.5
4,10/1/23 16:05,Chargers,Raiders,4.5
4,10/1/23 16:25,49ers,Cardinals,10
4,10/1/23 16:25,Cowboys,Patriots,6
4,10/1/23 20:20,Jets,Chiefs,1
4,10/2/23 20:15,Giants,Seahawks,1
5,10/5/23 20:15,Commanders,Bears,1.5
5,10/8/23 9:30,Bills,Jaguars,3.5
5,10/8/23 13:00,Steelers,Ravens,1
5,10/8/23 13:00,Lions,Panthers,5.5
5,10/8/23 13:00,Patriots,Saints,3
5,10/8/23 13:00,Dolphins,Giants,5
5,10/8/23 13:00,Falcons,Texans,3.5
5,10/8/23 13:00,Colts,Titans,1
5,10/8/23 16:05,Rams,Eagles,5.5
5,10/8/23 16:05,Cardinals,Bengals,7.5
5,10/8/23 16:25,Vikings,Chiefs,4
5,10/8/23 16:25,Broncos,Jets,1
5,10/8/23 20:20,49ers,Cowboys,2.5
5,10/9/23 20:15,Raiders,Packers,1.5
6,10/12/23 20:15,Chiefs,Broncos,7.5
6,10/15/23 9:30,Titans,Ravens,5.5
6,10/15/23 13:00,Dolphins,Panthers,7
6,10/15/23 13:00,Texans,Saints,3
6,10/15/23 13:00,Buccaneers,Lions,3.5
6,10/15/23 13:00,Jaguars,Colts,6.5
6,10/15/23 13:00,Bears,Vikings,0
6,10/15/23 13:00,Bengals,Seahawks,4.5
6,10/15/23 13:00,Browns,49ers,1
6,10/15/23 13:00,Falcons,Commanders,2.5
6,10/15/23 16:05,Raiders,Patriots,1
6,10/15/23 16:25,Rams,Cardinals,4
6,10/15/23 16:25,Jets,Eagles,0
6,10/15/23 20:20,Bills,Giants,7
6,10/16/23 20:15,Chargers,Cowboys,1
7,10/19/23 20:15,Saints,Jaguars,1
7,10/22/23 13:00,Bears,Raiders,1.5
7,10/22/23 13:00,Buccaneers,Falcons,1
7,10/22/23 13:00,Patriots,Bills,3.5
7,10/22/23 13:00,Colts,Browns,3
7,10/22/23 13:00,Ravens,Lions,3
7,10/22/23 13:00,Giants,Commanders,2.5
7,10/22/23 16:05,Seahawks,Cardinals,7
7,10/22/23 16:05,Rams,Steelers,1
7,10/22/23 16:25,Broncos,Packers,3.5
7,10/22/23 16:25,Chiefs,Chargers,6
7,10/22/23 20:20,Eagles,Dolphins,4
7,10/23/23 20:15,Vikings,49ers,2.5
8,10/26/23 20:15,Bills,Buccaneers,11
8,10/29/23 13:00,Packers,Vikings,0
8,10/29/23 13:00,Dolphins,Patriots,4
8,10/29/23 13:00,Colts,Saints,1
8,10/29/23 13:00,Giants,Jets,1.5
8,10/29/23 13:00,Commanders,Eagles,4
8,10/29/23 13:00,Titans,Falcons,1
8,10/29/23 13:00,Panthers,Texans,3.5
8,10/29/23 13:00,Steelers,Jaguars,1
8,10/29/23 13:00,Cowboys,Rams,7
8,10/29/23 16:05,Seahawks,Browns,2
8,10/29/23 16:25,49ers,Bengals,1
8,10/29/23 16:25,Cardinals,Ravens,5.5
8,10/29/23 16:25,Broncos,Chiefs,3.5
8,10/29/23 20:20,Chargers,Bears,5.5
8,10/30/23 20:15,Lions,Raiders,4.5
9,11/2/23 20:15,Steelers,Titans,4
9,11/5/23 9:30,Chiefs,Dolphins,5.5
9,11/5/23 13:00,Falcons,Vikings,1
9,11/5/23 13:00,Browns,Cardinals,7.5
9,11/5/23 13:00,Saints,Bears,3
9,11/5/23 13:00,Patriots,Commanders,4
9,11/5/23 13:00,Ravens,Seahawks,3
9,11/5/23 13:00,Texans,Buccaneers,1
9,11/5/23 13:00,Packers,Rams,3
9,11/5/23 16:05,Panthers,Colts,2.5
9,11/5/23 16:25,Raiders,Giants,2
9,11/5/23 16:25,Eagles,Cowboys,3.5
9,11/5/23 20:20,Bengals,Bills,1
9,11/6/23 20:15,Jets,Chargers,2
10,11/9/23 20:15,Bears,Panthers,2.5
10,11/12/23 9:30,Patriots,Colts,5
10,11/12/23 13:00,Vikings,Saints,3
10,11/12/23 13:00,Ravens,Browns,3.5
10,11/12/23 13:00,Steelers,Packers,3
10,11/12/23 13:00,Bengals,Texans,10
10,11/12/23 13:00,Jaguars,49ers,1
10,11/12/23 13:00,Buccaneers,Titans,0
10,11/12/23 16:05,Cardinals,Falcons,2.5
10,11/12/23 16:05,Chargers,Lions,3
10,11/12/23 16:25,Cowboys,Giants,5.5
10,11/12/23 16:25,Seahawks,Commanders,4
10,11/12/23 20:20,Raiders,Jets,2
10,11/13/23 20:15,Bills,Broncos,6
11,11/16/23 20:15,Ravens,Bengals,1
11,11/19/23 13:00,Panthers,Cowboys,3.5
11,11/19/23 13:00,Packers,Chargers,2
11,11/19/23 13:00,Dolphins,Raiders,5.5
11,11/19/23 13:00,Texans,Cardinals,2
11,11/19/23 13:00,Lions,Bears,5
11,11/19/23 13:00,Commanders,Giants,1
11,11/19/23 13:00,Browns,Steelers,2
11,11/19/23 13:00,Jaguars,Titans,5
11,11/19/23 16:05,49ers,Buccaneers,7.5
11,11/19/23 16:25,Rams,Seahawks,2
11,11/19/23 16:25,Bills,Jets,4
11,11/19/23 20:20,Broncos,Vikings,2
11,11/20/23 20:15,Chiefs,Eagles,3.5
12,11/23/23 12:30,Lions,Packers,4
12,11/23/23 16:30,Cowboys,Commanders,6
12,11/23/23 20:20,Seahawks,49ers,1
12,11/24/23 15:00,Jets,Dolphins,2.5
12,11/26/23 13:00,Giants,Patriots,1.5
12,11/26/23 13:00,Falcons,Saints,1
12,11/26/23 13:00,Bengals,Steelers,5
12,11/26/23 13:00,Colts,Buccaneers,1.5
12,11/26/23 13:00,Texans,Jaguars,4.5
12,11/26/23 13:00,Titans,Panthers,1
12,11/26/23 16:05,Broncos,Browns,1.5
12,11/26/23 16:05,Cardinals,Rams,2
12,11/26/23 16:25,Raiders,Chiefs,5
12,11/26/23 16:25,Eagles,Bills,1.5
12,11/26/23 20:20,Chargers,Ravens,2
12,11/27/23 20:15,Vikings,Bears,3.5
13,11/30/23 20:15,Cowboys,Seahawks,3.5
13,12/3/23 13:00,Patriots,Chargers,1.5
13,12/3/23 13:00,Commanders,Dolphins,3
13,12/3/23 13:00,Steelers,Cardinals,6.5
13,12/3/23 13:00,Jets,Falcons,6.5
13,12/3/23 13:00,Buccaneers,Panthers,1
13,12/3/23 13:00,Saints,Lions,1
13,12/3/23 13:00,Titans,Colts,2.5
13,12/3/23 16:05,Texans,Broncos,3.5
13,12/3/23 16:25,Rams,Browns,1.5
13,12/3/23 16:25,Eagles,49ers,2.5
13,12/3/23 20:20,Packers,Chiefs,5
13,12/4/23 20:15,Jaguars,Bengals,1
14,12/7/23 20:15,Steelers,Patriots,2.5
14,12/10/23 13:00,Falcons,Buccaneers,3.5
14,12/10/23 13:00,Saints,Panthers,3.5
14,12/10/23 13:00,Bears,Lions,1
14,12/10/23 13:00,Jets,Texans,8.5
14,12/10/23 13:00,Bengals,Colts,9
14,12/10/23 13:00,Browns,Jaguars,1
14,12/10/23 13:00,Ravens,Rams,6.5
14,12/10/23 16:05,Raiders,Vikings,1.5
14,12/10/23 16:05,49ers,Seahawks,4
14,12/10/23 16:25,Chiefs,Bills,4
14,12/10/23 16:25,Chargers,Broncos,3.5
14,12/10/23 20:20,Cowboys,Eagles,1
14,12/11/23 20:15,Dolphins,Titans,7.5
14,12/11/23 20:15,Giants,Packers,3
15,12/14/23 20:15,Raiders,Chargers,1
15,12/17/23 13:00,Bengals,Vikings,6
15,12/17/23 13:00,Saints,Giants,2.5
15,12/17/23 13:00,Dolphins,Jets,1.5
15,12/17/23 13:00,Panthers,Falcons,1.5
15,12/17/23 13:00,Browns,Bears,3.5
15,12/17/23 13:00,Lions,Broncos,3
15,12/17/23 13:00,Titans,Texans,3
15,12/17/23 13:00,Colts,Steelers,2.5
15,12/17/23 13:00,Packers,Buccaneers,4
15,12/17/23 16:05,Rams,Commanders,1
15,12/17/23 16:05,Cardinals,49ers,6
15,12/17/23 16:25,Bills,Cowboys,4
15,12/17/23 16:25,Seahawks,Eagles,2
15,12/17/23 20:20,Jaguars,Ravens,1
15,12/18/23 20:15,Patriots,Chiefs,4
16,12/21/23 20:15,Rams,Saints,1
16,12/23/23 16:30,Steelers,Bengals,2.5
16,12/23/23 20:00,Chargers,Bills,1
16,12/24/23 13:00,Titans,Seahawks,2
16,12/24/23 13:00,Jets,Commanders,6
16,12/24/23 13:00,Texans,Browns,3.5
16,12/24/23 13:00,Vikings,Lions,1
16,12/24/23 13:00,Panthers,Packers,1
16,12/24/23 13:00,Falcons,Colts,3.5
16,12/24/23 16:05,Buccaneers,Jaguars,3.5
16,12/24/23 16:25,Dolphins,Cowboys,1.5
16,12/24/23 16:25,Bears,Cardinals,5
16,12/24/23 20:15,Broncos,Patriots,3
16,12/25/23 13:00,Chiefs,Raiders,9.5
16,12/25/23 16:30,Eagles,Giants,7.5
16,12/25/23 20:15,49ers,Ravens,3
17,12/28/23 20:15,Browns,Jets,0
17,12/30/23 20:15,Cowboys,Lions,3
17,12/31/23 13:00,Commanders,49ers,3.5
17,12/31/23 13:00,Texans,Titans,1
17,12/31/23 13:00,Eagles,Cardinals,11
17,12/31/23 13:00,Bears,Falcons,2.5
17,12/31/23 13:00,Jaguars,Panthers,5
17,12/31/23 13:00,Giants,Rams,4
17,12/31/23 13:00,Colts,Raiders,1.5
17,12/31/23 13:00,Ravens,Dolphins,2
17,12/31/23 13:00,Bills,Patriots,6
17,12/31/23 13:00,Buccaneers,Saints,1.5
17,12/31/23 16:05,Seahawks,Steelers,2.5
17,12/31/23 16:25,Broncos,Chargers,1
17,12/31/23 16:25,Chiefs,Bengals,3.5
17,12/31/23 20:20,Vikings,Packers,3
18,1/7/24 13:00,Saints,Falcons,2.5
18,1/7/24 13:00,Dolphins,Bills,1.5
18,1/7/24 13:00,Packers,Bears,2
18,1/7/24 13:00,Bengals,Browns,3.5
18,1/7/24 13:00,Commanders,Cowboys,3
18,1/7/24 13:00,Raiders,Broncos,1
18,1/7/24 13:00,Colts,Texans,1.5
18,1/7/24 13:00,Titans,Jaguars,2.5
18,1/7/24 13:00,Chargers,Chiefs,2
18,1/7/24 13:00,49ers,Rams,6
18,1/7/24 13:00,Lions,Vikings,2.5
18,1/7/24 13:00,Patriots,Jets,1
18,1/7/24 13:00,Giants,Eagles,2.5
18,1/7/24 13:00,Ravens,Steelers,3.5
18,1/7/24 13:00,Cardinals,Seahawks,4.5
18,1/7/24 13:00,Panthers,Buccaneers,2.5